Date,Event,Description
"August 17, 1876",Clarence Stanley Fisher is born.,"In Philadelphia. Father is Frederick Fisher, an upholsterer, born in Wurtemerg, Germany. Mother, Emily M. Fisher, also born in Wurtemberg. He had a brother named C. Frederick, 6 years older than he. Clarence Stanley Fisher was christened on May 27th, 1877 at St. Marks Lutheran Church, Philadelphia."
1897,Graduated from the University of Pennsylvania,Degree in architecture.
1897,Fisher works with the Nippur expedition,
1898,Fisher works with the Nippur expedition,
1899,Fisher works with the Nippur expedition,
1900,Fisher works with the Nippur expedition,
"March 14, 1914","George Byron Gordon writes to Reisner about positions of Curator and Assistant Curator to be filled at The University Museum, Philadelphia","Addressed to Reisner : Kerma, Dongola Province, Sudan. Note: G.B. Gordon was the U. Penn Museum Director from 1910-1927"
"June 9, 1914","Fisher writes Reisner that he has been offered the Curator position by Gordon, felt sure of Reisner’s support and the use of “some of the men.”","Written on Museum of Fine Arts Boston stationery, Fisher mentions: “Last November when I left you …” and “In January came the sudden Jerusalem offer…” He mentions visiting Professor Laird at the School of Architecture who assured him “ that all the old animus was gone…” and tells Reisner, “So you see they are all anxious to make good to me the bitter disappointment of the past eight years and the injustice with which they treated me.”
Fisher mentions his feud with some one named Raymond and his disapproval of Reisner having anything to do with Dunham, Raymond’s friend."
"June 24, 1914",Fisher writes to Reisner that he has received official notification of his appointment to be Curator of the Egyptian department at the U. of P. Again mentions using the men that Reisner cannot use.,"Fisher acknowledges (on MFA stationery) that Gordon told him that Reisner has recommended him for the position. Asks Reisner to help him pick a site.
 “Mentions: “No men whom you have discharged or do not want me to have, would not be desired.”
 “[Lyman] Story has gone back on his word after asking me to take him as assistant.” Story disapproves of Fisher trying to interfere with Raymond’s future at the Museum. “He thinks I am unfair and unjust to him …”
 In a P.S. Fisher asks Reisner to settle a bill he received from Raymond for the paper and toner used for Raymond’s photographs."
"August 2, 1914","“…owing to the unsettled state of Europe* and the withdrawal of many steamships, I have had to cancel my passage on the “Franconia” August 4th.”","Fisher, writing from Cambridge, MA, doesn’t know when he will be able to cross so he will work in Philadelphia and do some work for Reisner “when I come out in the fall.” Three pages about Raymond Howe owing him money, Reisner writing a letter of recommendation for Howe, and how it makes him, Fisher, look bad. Similar problems with another enemy, Mr. West, who evidently also carried an unexpected and, according to Fisher, undeserved, letter of recommendation from Reisner.
 Mentions needing to speak to Reisner about the American Institute Egyptian Committee, “before you took any action in the matter with them” and also about the “Samaria matter”. No details on what these matters were.
 Mentions that The Boston American has just come out with an interview with Howe about Giza."
1914,Start of WW 1,"‘Austrian Archduke Francis Ferdinand and wife assassinated in Sarajevo by Serbian nationalist, Gavrilo Princip (June 28). Austria declares war on Serbia (July 28). Germany declares war on Russia (Aug. 1), on France (Aug. 3), invades Belgium (Aug. 4). Britain declares war on Germany (Aug. 4). Germans defeat Russians in Battle of Tannenberg on Eastern Front (Aug.). First Battle of the Marne (Sept.). German drive stopped 25 miles from Paris. By end of year, war on the Western Front is “positional” in the trenches.” Also see http://www.public.asu.edu/~snodevil/330crises.html and http://raven.cc.ukans.edu/~kansite/ww_one/timeline/timesrch.htm#1914 for more detailed timelines."
